,Content,Location,Retweet-Count,Favorites,Created at
0,"🧑‍💻How we’re engaging students in real-time collaborative learning – online:
https://t.co/k0Bj0rAnv5
.
By our @markthompson1 with @lisaharris and @Annabel_Ilic  of @UofEBusiness
#OnlineLearning #DigitalLearning #DesignSprint #MuralApp @markthompson1 https://t.co/Q3Y6UjMnYw","London, UK",1,1,2021-03-16 19:10:03
1,"Barclays LifeSkills gives you the knowledge and confidence you need for work, with helpful online tools, tips and learning resources. 

Develop new skills @YourLifeSkills here https://t.co/ihWd86wm3a

#DigitalLearning https://t.co/fdfabPmK6P",Gloucestershire,0,0,2021-03-16 19:05:12
2,"Enlightenment Stations for tomorrow! 
Template: @SlidesManiaSM 
Bento Box From: @historysandoval 
Enlightenment Meme Activity: Adapted from @ms_hansen
File, make a copy: https://t.co/mPQ5yZ1Z6D
#sschat #OnlineLearning #DigitalLearning #EduTwitter https://t.co/z1Hhhb765P","Smithfield, VA",0,3,2021-03-16 18:30:25
3,"As Israel comes upon its 24th parliamentary election, it is evident that the Origins of Israeli Democracy are in its Jewish Political Culture in Pre State Practice,  

https://t.co/1li4qqMOZF

#IsraelEducation #Israel #IsraelOnline #DigitalLearning",,0,0,2021-03-16 18:07:00
4,A1: Some of my amazing mentors and friends in #onlinelearning and #digitallearning are @gravesle @Amanda__Major @DRbouchey @CleaMahoney @karenraycosta @lukedowden @gratzee and so many more! #OLCInnovateChat,Michigan,0,1,2021-03-16 17:38:11
5,"Q1: Let’s kick things off by mentioning some friends! Who are some of the #edtech #onlinelearning #blendedlearning and #digitallearning influencers/leaders/colleagues in your network? Whether they're #highered, #K12, or beyond, let’s invite them to chat! #OLCInnovateChat https://t.co/CZQfayp05y","Boston, MA",2,5,2021-03-16 17:35:05
6,"Hello #California #K12 #District Leaders - still time to register for today's @SpeakUpEd info session - learn how easy it is for your to collect feedback from #students, #teachers, #parents about #remotelearning #digitallearning #edtech.  This is a free service for all districts. https://t.co/Frch1ihKyM","Irvine, California",0,0,2021-03-16 17:32:17
7,"One module 2 @alHamir #edtech, #elearning, #eduteach, #bunmiadedayofoundation, #thecocacolafoundation, #donorsforafrica, #onlinelearning , #mlearning, #distancelearning, #digitallearning, #PromotingeducationinAfrica and #TRTProject https://t.co/ipKITmtvq5",lagos,1,1,2021-03-16 17:31:50
8,"Started module 2 already #edtech, #elearning, #eduteach, #bunmiadedayofoundation, #thecocacolafoundation, #donorsforafrica, #mlearning,  #edtechteachers, #remotelearning, #distancelearning, #digitallearning, # #PromotingeducationinAfrica and #TRTProject https://t.co/q2yz2Fnh5u",,0,2,2021-03-16 17:28:58
9,"In this #TechForGood exclusive, @SusanWard30, Deputy Head, @KingslandLearns and Apple Regional Training Centre Manager, looks at how blended learning is driving the future of #education.

#EdTech #TechForGood #digitallearning",,0,0,2021-03-16 17:16:51
10,"Upskill your marketing team and reduce your dependency on external agencies with our martech digital training. Enrol for your spot this May.

#martech #marketingtechnology #marketingautomation #marketingoperations #marketingops #cmo #digitallearning https://t.co/gamtDKPxte",On the internet,0,0,2021-03-16 17:12:59
11,"How are your students are learning? We want to know!

Make sure your voice is heard by participating in this year's Speak Up Research Project: https://t.co/naZsOMqa31

 #SpeakUpEd #Digitallearning #edchat #teachers https://t.co/u1hpfxtDTN","Irvine, CA",2,1,2021-03-16 17:11:58
12,"Answer this riddle correctly for a chance to win a free assessment!

Two fathers and two sons are in a car, yet there are only three people in the car. How?

#sylvanlearning #riddle #trivia #brainteaser #giveaway #tutoring #digitallearning #academicsupport #learningpod #help https://t.co/rvdZgyvSqS","Brookfield, CT",0,0,2021-03-16 17:00:02
13,"Crush Your Next Virtual Class,
6 Tips to Keep Students Engaged on Zoom via @HarvardBizEdu #digitallearning #studentengagement

https://t.co/z3RY0ZQ3n8",,0,2,2021-03-16 16:21:00
14,"BT Skills For Tomorrow gives you the skills to get back into work including: 

✔️Improving your online job hunting
✔️Dealing with rejection and thriving
✔️Shining in an interview 
✔️Creating your own luck

Find it all for free here https://t.co/2sMCF88jrO 

#DigitalLearning https://t.co/QDtaLSU7Jp",,0,0,2021-03-16 16:05:19
15,"Learn the art of creating captivating designs to catch the attraction of audience. Understand different topics, tools, techniques &amp; principles with Expert Graphic Designers at Elearners. 👔
#digitallearning #graphicdesigning #graphics #profession #learning #buildcareer #portfolio https://t.co/pse9NDH0GP","Rawalpindi, Pakistan",0,0,2021-03-16 15:38:58
