,Content,Location,Retweet-Count,Favorites,Created at
0,2nd graders do not hold back 😂 #schoolathome #theodoreroosevelt #history https://t.co/AWTih3Ytg3,,0,0,2021-03-16 15:52:43
1,Wishing our Champs all the very best for their Term 3 Self Assessment. Part of our School@Home program. #SchoolAtHome #StayAtHomeLearning #SelfAssessment #ChildProgressReport #HappyKindergartenExperiences #ChildFeedback #HappyTests #HappyChildren #ChildCentricEducation https://t.co/rusU7yJj4n,"Cochin, Kerala, India",0,0,2021-03-16 04:33:24
2,Surely I’m not the only one using old nursing pads for my child’s dryboard eraser? #SchoolAtHome https://t.co/gPhMEKtOrj,"Tech Services, Minnesota",0,1,2021-03-15 16:46:14
3,"Tuloy-tuloy lang ang learning online! Check this week's schedule for our #SchoolAtHome LIVE with @pedroj0se, @lyqamaravilla, @TheFQMom, @kuyakim_atienza , and Kuya @robertmarion ! 😁 https://t.co/Yjp66pqnSA",Quezon City,6,20,2021-03-14 10:51:33
4,"Catch ""Puno ng Buhay"" (replay episodes) with Maymay and Khalil on #SchoolAtHome, Monday to Friday, starting 7AM on A2Z Channel 11!

@kchonline @OfficialA2ZPH

#MayWard #MaymayEntrata #EdwardBarber 

@maymayentrata07 @Barber_Edward_
 https://t.co/UcVPgUUiTn",Republic of the Philippines,5,3,2021-03-13 11:19:29
5,"Watch ""Puno ng Buhay"" (replay episodes) with Maymay and Khalil on #SchoolAtHome, Monday to Friday, starting 7AM on A2Z Channel 11! 

@kchonline @OfficialA2ZPH 

#MayWard #MaymayEntrata #EdwardBarber 

@maymayentrata07 @Barber_Edward_  

https://t.co/Q7GHuaLlFq",Republic of the Philippines,39,38,2021-03-13 09:33:18
6,Just a few of the awesome dance moves from the @lakemyra virtual dance party. #schoolathome #remotelearning #adventuresoftheoutlaws #whyilovelakemyraes https://t.co/VnBh0TtOyW,"Knightdale, NC",0,4,2021-03-12 21:07:01
7,Highlight of his week was this @lakemyra wide virtual dance party where he got to see @lovestoteachABC whom he misses so much. #imayhavecriedalittle #schoolathome #remotelearning #covidquarantine2021 #danceparty #firstgraderocks #whyilovelakemyraes #adventuresoftheoutlaws https://t.co/2SRINR5EcQ,"Knightdale, NC",1,5,2021-03-12 21:03:51
8,"Number matching game for preschool Kids   https://t.co/tbgNBiQ7tH  

#homeschool #schoolathome #toddlersactivity #montessori #montessoriathome #montessoritoddler #montessoriactivity #montessoriinspired #funlearning #raisoactive #kidsactivities #numbergame #mathsforkids",Mumbai,2,5,2021-03-12 19:25:11
9,"Amazing Childrens Activity Sets up to 30% OFF !

Kids At Home! Keep Them Busy &amp; Entertained.

https://t.co/zgULpWgkOi

FREE Delivery Nationwide On Order Over €30 &amp; Click and Collect in Stillorgan 

#schoolathome #kidsactivities #giottoart #artsupplies https://t.co/xHN0s20chs",Dublin,0,2,2021-03-12 18:11:54
10,"We LOVE #fun family #VirtualEvents ! Thank you @EVVParksandRec for this #Disney #athome   #TriviaNight !

#PLARocks #homelearning  #homeschooling #SchoolAtHome #FamilyFunTime  #OurScholarsSoar https://t.co/su8GCSOZ7I","Indiana, USA",0,0,2021-03-12 15:39:08
