,Content,Location,Retweet-Count,Favorites,Created at
0,"Like anything, being good with money takes practice. Set your kids up for success by offering a small financial reward for good (or improved) grades. Be sure to tie the reward to hard work and hours studying. #parenting #schoolfromhome #financialliteracy",,0,0,2021-03-16 13:53:15
1,Virtual school moment: kid 1 in tears because he can't get edit access to the document he is supposed to be working on. Kid 2 is playing a recorder in music class. #schoolfromhome,,0,1,2021-03-15 14:14:27
2,"🏠 Residential
🏫 Education
🏢 Commercial
🏨 Hospitality
🏪 Retail
 🖥   https://t.co/BaUaPBixA8
📞 855-675-CODE (2633)

#CodeCleaned #BeyondClean #Sterilize #Disinfect #StaySafe #SchoolFromHome #Houston #Austin #CollegeStation #BCS #DFW #Dallas #FortWorth https://t.co/hbt0mKNcPi",,0,0,2021-03-15 14:02:05
3,"Catch up on The Secret Fictitious Covid Diaries. I seem to have already written more for next week...
https://t.co/Qc8Z2NZaz4  #amwriting #writingcommunity #blogger #workfromhome #shortstories #fiction #mystery #workfromhome #schoolfromhome
#blogging #bloggerstribe",,1,2,2021-03-14 14:30:44
4,"@TataPower frequent power cuts in Borivali west at Praneel apartment,link road.Not being able to resolve almost past several months.Tieup with discom @Adani_Elec_Mum seems to be the reason.Unapologetic services during in the times of #wfh and #schoolfromhome",,0,0,2021-03-14 06:43:17
5,"Schedule your cleaning TODAY!

🏠 Residential
🏫 Education
🏢 Commercial
🏨 Hospitality
🏪 Retail
 🖥   https://t.co/BaUaPBixA8
📞 855-675-CODE (2633)

#CodeCleaned #BeyondClean #Sterilize #Disinfect #StaySafe #SchoolFromHome #Houston #Austin #BCS #DFW #Dallas #FortWorth https://t.co/DGhG9a1m2K",,0,0,2021-03-12 15:15:06
6,"Little poll for all of my academics out there. Teacher/Professors and Students of any level! It was big shift for us all when we moved to online classes and it definitely wasn't easy. So I'm curious, what have you liked and what have you hated about being online? #Schoolfromhome","Sherwood Park, Alberta",0,0,2021-03-11 15:32:57
7,"🏠 Residential
🏫 Education
🏢 Commercial
🏨 Hospitality
🏪 Retail
 🖥   https://t.co/BaUaPBixA8
📞 855-675-CODE (2633)

#CodeCleaned #BeyondClean #Sterilize #Disinfect #StaySafe #BackToSchool #SchoolFromHome #Houston #Austin #CollegeStation #BCS #DFW #Dallas #FortWorth https://t.co/yRlnGKl24c",,0,0,2021-03-10 15:15:05
8,"Interactive 3rdGrade #Math #TestPrep for #GoogleClassroom and #DistanceLearning by MrTechnology on #TeachersPayTeachers #edchat #education #edtech #teachfromhome #schoolfromhome 
 https://t.co/g6Nr8oPFzZ",USA,1,0,2021-03-10 13:35:33
9,"#Math State Test Word Problems Practice for #GoogleClassroom &amp; #DistanceLearning by MrTechnology on #TeachersPayTeachers #edchat #education #edtech #teachfromhome #schoolfromhome 
 https://t.co/s9ZUIQdqf5",USA,0,0,2021-03-10 13:34:54
10,"#4thGrade #Math #TestPrep for #GoogleClassroom and #DistanceLearning by MrTechnology on #TeachersPayTeachers #edchat #education #edtech #teachfromhome #schoolfromhome 
 https://t.co/RVuTbhQQM5",USA,0,0,2021-03-10 13:34:16
11,"#GoogleClassroom #Math Mega Bundle for Grades 3 &amp; 4 and #DistanceLearning by MrTechnology on #TeachersPayTeachers #edchat #education #edtech #teachfromhome #schoolfromhome 
 https://t.co/3wNRjBjVRc",USA,0,0,2021-03-10 13:33:26
12,"Life of a parent working from home: taking meetings, finishing household chores, and teaching or playing with kiddos. Doing all these tasks together with full efficiency. 

#Parenthood #WFH #schoolfromhome","Brampton, ON",0,0,2021-03-09 16:31:44
