,Content,Location,Retweet-Count,Favorites,Created at
0,"I loved getting to virtually visit these grade 3 students at Hess Street School all the way in Hamilton Ontario!! Check out some of their amazing drawings! 

#virtualauthorvist #virtuallearning #onlinelearning #students #teachers #ontario #sports #lucytriessports #schools https://t.co/WxYhg63epz",World,0,2,2021-03-16 19:49:21
1,"Here is a quote from my physics professor today in class, ""not all equations are created equal in physics.""-my funny asf professor🤣🤣 #virtuallearning",,0,0,2021-03-16 19:42:50
2,Big Thanks to DHS Student Adam Sedgeman and @Dexter_Squall for this AWESOME feature on DHS Semester 1 Art Students work! ❤️ 🎨 #art #artteacher #dreadstrong #highschoolart #virtuallearning https://t.co/y12g7ZwZTx,,0,0,2021-03-16 19:42:37
3,Big Thanks to DHS Student Adam Sedgeman and @Dexter_Squall for this AWESOME feature on DHS Semester 1 Art Students work! ❤️ 🎨 #art #artteacher #dreadstrong #highschoolart #virtuallearning https://t.co/AoaeHKLnFg,,0,0,2021-03-16 19:41:51
4,Elmer and Butterfly https://t.co/ELuHR8RZIr via @YouTube #earlyreadiness #preschool #homeschool #elmer #butterfly #spring #tuesdayvibe #virtuallearning #teamwork #KindnessMatters #KindleUnlimited #friends,,0,0,2021-03-16 19:31:21
5,"What's that sound? 👂

Guess the animal in our latest video game!

https://t.co/aY39wH7DlX

#edtech #ela #esl #gamification #gbl #onlinelearning #distancelearning #blendedlearning #virtuallearning https://t.co/U6VTdRvhJP",Canada 🍁,0,0,2021-03-16 19:29:44
6,Its #TechTipTuesday! Kami is a great Google extension for students to use to edit any assignment including PDFs #teacherlife #teacher #teaching #teachertwitter #distancelearning #edtech #edtechchat #teachertips #edtechteachers #edtechtips #virtuallearning #teachershelpingteachers https://t.co/LRu7pkrD26,"Ohio, USA",0,0,2021-03-16 19:28:37
7,"Come join us for a triple Texas treat, as we bring the Austin, Dallas, and San Antonio Chapters together to welcome Morgan J Ingram, Director of Sales Execution and Evolution at JB Sales for a virtual fireside chat. Sign up https://t.co/1kbGluBufV #VirtualLearning #Sales #Texas https://t.co/FOW1XAlUo3",USA,0,1,2021-03-16 19:15:43
8,Look at these leprechaun traps @TeacherDrSarah @PVNCCDSB #PVNCLearns #pvncSTEAMweek #PVNCLeads #PVNCLearns #virtuallearning https://t.co/rMqLSRVjuM,"Oshawa, Ontario",0,0,2021-03-16 19:14:34
9,"Why yes, we did make a giant abacus for @GG_Learning! Serves not only as a learning device but as a very cool wall as well!

Generation Genius - Set Design by Flip This Bitch.

#GenerationGenius #ProductionDesign #SetDesign #InteriorDesign #DesignInspo #VirtualLearning #Teaching https://t.co/sJD9eUrQB1",Los Angeles,1,1,2021-03-16 19:13:24
10,"Did you miss out on our online insurance class that started today? Register now for our next virtual two-day Life, Accident and Health Insurance class starting in two weeks! https://t.co/AFLznd1DkK #VirtualLearning #Insurance #LAH #ExamPrep","New York, New York",0,0,2021-03-16 19:08:59
11,"#specialneeds students seem to be struggling in greater numbers with #virtuallearning. With almost 73% of Georgia’s school districts open, studies show kids need to be in the classroom. 

https://t.co/vOOuOlxqEB

#education #schoolchoice #gaparents #gastudents","Georgia, USA",0,0,2021-03-16 19:04:01
12,"""The reality is that this is going to change #education forever.” #virtuallearning https://t.co/F7ziUyABMP #edtech #remotelearning #VR",An Online Global Organization,1,1,2021-03-16 18:53:19
13,Writing celebrations! Presenting our inventor research this week. Always my favorite time! #IsdStrong #virtuallearning #ISD2nd https://t.co/UI3LlvMywX,,0,0,2021-03-16 18:31:17
14,Live-streamed classroom using #virtuallearning #VirtualReality #gamification @MontereyAq #Livestream  @ecammtweets @AppleEDU @GoogleForEdu #elementary #teachertwitter #edutwitter #education #distancelearning #mashup @DistanceLrnBot https://t.co/9tcKjWCaik https://t.co/SPicGQYgwK,,1,1,2021-03-16 18:25:59
15,"New rollover courses now available from DALBAR and Retirement Learning Center: https://t.co/G0OYi7oQaV

#Rollovers #DOL #VirtualLearning #FinancialAdvisor https://t.co/OnSsigQipx","Marlborough, MA",0,0,2021-03-16 18:20:48
16,Screens were already a massive part of our lives before the pandemic and now even more so. We decided to focus on ways to manage the screen time for your little ones in our blog. https://t.co/FcRCUnbFKJ #ScreenTime #VirtualLearning #Kids #Parenting #ParentingTips https://t.co/nc6yKNbeEl,"Waltham, MA",0,0,2021-03-16 18:14:05
17,🐟 Charades today for Learn@Home Camp! ⛺️ Thx Mr. Miller for being up for an on the spot demo for the kiddos!  @WCLittleES @SCDSB_Schools #VirtualLearning #CampWeek https://t.co/9gr5P3bTM1,"Barrie, Ontario",0,7,2021-03-16 18:02:01
18,"Did you know that Eselin Consulting, LLC offers outstanding Online Learning services in the Panama City Beach area? For more information, click on the link below to view our website! #AdultEducationSchool #SpecialNeedsEducation #VirtualLearning https://t.co/98DKVJaFfz https://t.co/7u6WJOZLIf","Panama City Beach, FL",0,0,2021-03-16 18:00:26
